gene_id	string_protein_id	propagate_score
OTUB1	9606.ENSP00000444357	7.525459743367422e-05
USP15	9606.ENSP00000280377	0.00011955968958464848
RPS27A	9606.ENSP00000272317	0.0015480865760246522
KDM1A	9606.ENSP00000383042	0.0004018500531231578
USP20	9606.ENSP00000313811	4.1950106719249245e-05
TP53BP1	9606.ENSP00000371475	0.0007612704369295658
USP5	9606.ENSP00000229268	5.2038292131735434e-05
UBC	9606.ENSP00000441543	0.0008814070852939959
USP2	9606.ENSP00000260187	5.912302691854544e-05
USP13	9606.ENSP00000263966	6.542923157491238e-05
USP4	9606.ENSP00000265560	3.3033207983704776e-05
UBA52	9606.ENSP00000388107	0.0007611703228216017
UBB	9606.ENSP00000478771	0.000684730006885833
USP14	9606.ENSP00000261601	0.00014647278913214334
MYC	9606.ENSP00000478887	0.003986793993647195
CHEK2	9606.ENSP00000372023	0.0010667693494475809
CLSPN	9606.ENSP00000312995	0.00026590934003078
USP8	9606.ENSP00000379721	4.893117697534198e-05
FBXW7	9606.ENSP00000474725	0.0002841359209493538
TP53	9606.ENSP00000269305	0.005542873790651058
SLC7A2	9606.ENSP00000004531	2.5914531012246654e-06
ARG2	9606.ENSP00000261783	5.3991991898372044e-05
ARG1	9606.ENSP00000349446	6.199444736369022e-05
HSPB6	9606.ENSP00000004982	2.5163815741934104e-05
HSPB8	9606.ENSP00000281938	5.5890719620620636e-05
TSG101	9606.ENSP00000251968	0.00010241241452451536
SHQ1	9606.ENSP00000315182	1.0613947879097995e-05
SFN	9606.ENSP00000340989	0.000301991432197534
BAG3	9606.ENSP00000358081	9.053211110050548e-05
HSPD1	9606.ENSP00000340019	0.00010130505961482074
PDK4	9606.ENSP00000005178	2.4727456587567653e-05
ANGPTL4	9606.ENSP00000301455	2.759082537983377e-05
DLAT	9606.ENSP00000280346	6.611483835397937e-05
PDK2	9606.ENSP00000420927	1.6048447324718248e-05
PPARGC1A	9606.ENSP00000264867	0.0003352606928543715
CPT1B	9606.ENSP00000379011	2.557037807884659e-05
VDAC1	9606.ENSP00000378487	0.0001802998613976711
PPARD	9606.ENSP00000310928	6.33528619840978e-05
UCP3	9606.ENSP00000323740	1.2959728160908629e-05
ITPR1	9606.ENSP00000306253	0.00014001614997892562
PDHA1	9606.ENSP00000369134	3.451698224042458e-05
HSPA9	9606.ENSP00000297185	0.00016164780832623804
CYCS	9606.ENSP00000307786	0.0006974444520820317
PDHX	9606.ENSP00000227868	3.778349659064899e-05
INS	9606.ENSP00000380432	0.0005509134861085594
PDP2	9606.ENSP00000309548	8.109828087707703e-06
PDK3	9606.ENSP00000498864	1.5486889901490016e-05
SLC2A4	9606.ENSP00000320935	8.524871516803911e-05
ITPR3	9606.ENSP00000363435	0.0001187828004573417
PPARA	9606.ENSP00000385523	0.00019795628275691182
USH1C	9606.ENSP00000005226	2.3550507858542492e-05
